"Average Score Bin","Driver IDs"
4.8,"12,13,37,56,63,65,68,74,75,78,82,102,117,156"
4.6,"4,11,14,16,23,26,34,49,50,52,54,59,60,62,66,79,80,88,92,95,96,101,103,107,113,114,118,125,131,134,153,154"
4.4,"0,2,5,6,7,8,15,20,21,22,27,31,33,39,55,57,58,61,70,72,73,77,90,99,100,104,109,122,123,124,126,130,135,137,138,139,140,142,143,144,146,151,152,155,163,166"
4.2,"10,17,30,41,67,105,106,111,112,115,136,141,145,147,158"
4.0,"3,9,18,19,24,36,108,119,148,149,160"
3.8,"71,89"
3.6,"25,81"
3.4,"32"
3.2,"91"
2.8,"28"
2.6,"29,127,159"
2.4,"162"
2.2,"116"
1.8,"121"
1.6,"35"
1.2,"43"
0.0,"42,45,87,98,128,164"
